current_name,proposed_standard_name,source_reference
Apple_Scab,Apple_Scab,Common agronomic name for Venturia inaequalis
Banana_Bract_Mosaic_Virus,Banana_Bract_Mosaic_Virus,Standard name for Banana bract mosaic virus
Banana_Cordana,Banana_Cordana_Leaf_Spot,EPPO: Cordana musae
Banana_Healthy,Banana_Healthy,Standard healthy class
Banana_Insect_Pest,Banana_Insect_Pest,General pest category
Banana_Moko,Banana_Moko_Disease,EPPO: Ralstonia solanacearum
Banana_Panama,Banana_Panama_Disease,EPPO: Fusarium oxysporum f.sp. cubense
Banana_Pestalotiopsis,Banana_Pestalotiopsis_Leaf_Spot,EPPO: Pestalotiopsis spp.
Banana_Sigatoka,Banana_Black_Sigatoka,EPPO: Pseudocercospora fijiensis
Banana_Yellow_Sigatoka,Banana_Yellow_Sigatoka,EPPO: Pseudocercospora musae
Bell_Pepper_Bacterial_Spot,Bell_Pepper_Bacterial_Spot,EPPO: Xanthomonas campestris pv. vesicatoria
Bell_Pepper_Healthy,Bell_Pepper_Healthy,Standard healthy class
Blackgram_Anthracnose,Blackgram_Anthracnose,EPPO: Colletotrichum lindemuthianum
Blackgram_Healthy,Blackgram_Healthy,Standard healthy class
Blackgram_Leaf_Crinkle,Blackgram_Leaf_Crinkle_Virus,Standard name
Blackgram_Powdery_Mildew,Blackgram_Powdery_Mildew,EPPO: Erysiphe polygoni
Blackgram_Yellow_Mosaic,Blackgram_Yellow_Mosaic_Virus,Standard name
Blueberry_Healthy,Blueberry_Healthy,Standard healthy class
Cauliflower_Bacterial_Spot_Rot,Cauliflower_Bacterial_Soft_Rot,EPPO: Pectobacterium carotovorum
Cauliflower_Downy_Mildew,Cauliflower_Downy_Mildew,EPPO: Peronospora parasitica
Cauliflower_Healthy,Cauliflower_Healthy,Standard healthy class
Chilli_Anthracnose,Chilli_Anthracnose,EPPO: Colletotrichum capsici
Chilli_Healthy,Chilli_Healthy,Standard healthy class
Citrus_-_citrus_canker_,Citrus_Canker,EPPO: Xanthomonas citri
Citrus_Canker,Citrus_Canker,EPPO: Xanthomonas citri
Coffee_Leaf_Rust,Coffee_Leaf_Rust,EPPO: Hemileia vastatrix
Corn_Leaf_Blight,Corn_Northern_Leaf_Blight,EPPO: Exserohilum turcicum
Corn_Rust,Corn_Rust,EPPO: Puccinia sorghi
Corn_Smut,Corn_Smut,EPPO: Ustilago maydis
Cucumber_Angular_Leaf_Spot,Cucumber_Angular_Leaf_Spot,EPPO: Pseudomonas syringae pv. lachrymans
Cucumber_Powdery_Mildew,Cucumber_Powdery_Mildew,EPPO: Podosphaera xanthii
Grape_-_grape_downy_mildew_,Grape_Downy_Mildew,EPPO: Plasmopara viticola
Grape_Downy_Mildew,Grape_Downy_Mildew,EPPO: Plasmopara viticola
Groundnut_Early_Leaf_Spot,Groundnut_Early_Leaf_Spot,EPPO: Cercospora arachidicola
Groundnut_Early_Rust,Groundnut_Early_Rust,EPPO: Puccinia arachidis
