dataset1_class,dataset2_class,canonical_name,match_type,normalization_note
Apple_Black_Rot,Apple_Black_Rot,Apple_Black_Rot,EXACT,No change
Apple_Brown_Spot,Apple_Brown_Spot,Apple_Brown_Spot,EXACT,No change
Apple_Healthy,Apple_Healthy,Apple_Healthy,EXACT,No change
Apple_Rust,Apple_Cedar_Apple_Rust,Apple_Cedar_Apple_Rust,ALIAS,Prefer explicit disease name
Apple_Scab,Apple_Scab,Apple_Scab,EXACT,No change
Blueberry_Healthy,Blueberry_Healthy,Blueberry_Healthy,EXACT,No change
Cassava_Bacterial_Blight,Cassava_Bacterial_Blight,Cassava_Bacterial_Blight,EXACT,No change
Cassava_Brown_Streak_Disease,Cassava_Brown_Streak_Disease,Cassava_Brown_Streak_Disease,EXACT,No change
Cassava_Green_Mottle,Cassava_Green_Mottle_Virus,Cassava_Green_Mottle_Virus,ALIAS,Add pathogen type suffix
Cassava_Healthy,Cassava_Healthy,Cassava_Healthy,EXACT,No change
Cassava_Mosaic_Disease,Cassava_Mosaic_Disease,Cassava_Mosaic_Disease,EXACT,No change
Cauliflower_Black_Rot,Cauliflower_Black_Rot,Cauliflower_Black_Rot,EXACT,No change
Cauliflower_Healthy,Cauliflower_Healthy,Cauliflower_Healthy,EXACT,No change
Cherry_Healthy,Cherry_Healthy,Cherry_Healthy,EXACT,No change
Cherry_Powdery_Mildew,Cherry_Powdery_Mildew,Cherry_Powdery_Mildew,EXACT,No change
Coffee_Healthy,Coffee_Healthy,Coffee_Healthy,EXACT,No change
Coffee_Rust,Coffee_Leaf_Rust,Coffee_Leaf_Rust,ALIAS,Use disease phrase consistently
Corn_Common_Rust,Corn_Common_Rust,Corn_Common_Rust,EXACT,No change
Corn_Gray_Leaf_Spot,Corn_Gray_Leaf_Spot,Corn_Gray_Leaf_Spot,EXACT,No change
Corn_Healthy,Corn_Healthy,Corn_Healthy,EXACT,No change
Corn_Northern_Leaf_Blight,Corn_Northern_Leaf_Blight,Corn_Northern_Leaf_Blight,EXACT,No change
Cucumber_Healthy_Leaf,Cucumber_Healthy,Cucumber_Healthy,ALIAS,Remove organ qualifier for healthy
Grape_Anthracnose,Grape_Anthracnose,Grape_Anthracnose,EXACT,No change
Grape_Black_Measles,Grape_Black_Measles,Grape_Black_Measles,EXACT,No change
Grape_Black_Rot,Grape_Black_Rot,Grape_Black_Rot,EXACT,No change
Grape_Healthy,Grape_Healthy,Grape_Healthy,EXACT,No change
Mango_Healthy,Mango_Healthy,Mango_Healthy,EXACT,No change
Peach_Bacterial_Spot,Peach_Bacterial_Spot,Peach_Bacterial_Spot,EXACT,No change
Peach_Healthy,Peach_Healthy,Peach_Healthy,EXACT,No change
Potato_Early_Blight,Potato_Early_Blight,Potato_Early_Blight,EXACT,No change
Potato_Healthy,Potato_Healthy,Potato_Healthy,EXACT,No change
Potato_Late_Blight,Potato_Late_Blight,Potato_Late_Blight,EXACT,No change
Raspberry_Healthy,Raspberry_Healthy,Raspberry_Healthy,EXACT,No change
Rice_Bacterial_Blight,Rice_Bacterial_Blight,Rice_Bacterial_Blight,EXACT,No change
Rice_Brown_Spot,Rice_Brown_Spot,Rice_Brown_Spot,EXACT,No change
Rice_Healthy,Rice_Healthy,Rice_Healthy,EXACT,No change
Rice_Tungro,Rice_Tungro_Disease,Rice_Tungro_Disease,ALIAS,Prefer explicit disease suffix
Rose_Healthy,Rose_Healthy,Rose_Healthy,EXACT,No change
Soybean_Healthy,Soybean_Healthy,Soybean_Healthy,EXACT,No change
Squash_Powdery_Mildew,Squash_Powdery_Mildew,Squash_Powdery_Mildew,EXACT,No change
Strawberry_Healthy,Strawberry_Healthy,Strawberry_Healthy,EXACT,No change
Strawberry_Leaf_Scorch,Strawberry_Leaf_Scorch,Strawberry_Leaf_Scorch,EXACT,No change
Tea_Red_Leaf_Spot,Tea_Red_Leaf_Spot,Tea_Red_Leaf_Spot,EXACT,No change
Tomato_Bacterial_Spot,Tomato_Bacterial_Spot,Tomato_Bacterial_Spot,EXACT,No change
Tomato_Early_Blight,Tomato_Early_Blight,Tomato_Early_Blight,EXACT,No change
Tomato_Healthy,Tomato_Healthy,Tomato_Healthy,EXACT,No change
Tomato_Late_Blight,Tomato_Late_Blight,Tomato_Late_Blight,EXACT,No change
Tomato_Leaf_Curl,Tomato_Leaf_Curl_Virus,Tomato_Leaf_Curl_Virus,ALIAS,Prefer explicit etiology
Tomato_Leaf_Mold,Tomato_Leaf_Mold,Tomato_Leaf_Mold,EXACT,No change
Tomato_Mosaic_Virus,Tomato_Mosaic_Virus,Tomato_Mosaic_Virus,EXACT,No change
Tomato_Septoria_Leaf_Spot,Tomato_Septoria_Leaf_Spot,Tomato_Septoria_Leaf_Spot,EXACT,No change
Tomato_Spider_Mites,Tomato_Spider_Mite,Tomato_Spider_Mite,ALIAS,Singular/plural normalization
Tomato_Target_Spot,Tomato_Target_Spot,Tomato_Target_Spot,EXACT,No change
