cluster_id,original_names,canonical_name,total_images,action,notes
APPLE_001,Apple_Scab | Apple__Apple_scab (1) | Apple__scab,Apple_Scab,1662,MERGE,"Consolidate to Apple_Scab"
APPLE_002,Apple__Black_rot (1) | Apple__Black_rot | Apple__black_rot | Apple black_spot,Apple_Black_Rot,2183,MERGE,"Use Black_Rot as canonical"
APPLE_003,Apple__Cedar_apple_rust (2) | Apple__Cedar_apple_rust (1) | Apple_Cedar_Apple_Rust,Apple_Cedar_Apple_Rust,1934,MERGE,"Standardize to Apple_Cedar_Apple_Rust"
APPLE_004,Apple__healthy | Apple__Healthy | Apple_Healthy,Apple_Healthy,2110,MERGE,"Use Apple_Healthy"
APPLE_005,Apple__Rotten (1) | Apple_Rotten,Apple_Rotten,1228,MERGE,"Use Apple_Rotten"
APPLE_006,Apple Brown_spot | Apple Normal,Apple_Normal,1884,RENAME_ONLY,"Rename to standard format"

BANANA_001,Banana__Healthy (1) | Banana__Healthy,Banana_Healthy,1202,MERGE,"Consolidate healthy"
BANANA_002,Banana__Rotten,Banana_Rotten,625,KEEP,"Already standard"
BANANA_003,Banana_Fruit_Anthracnose | Banana_Leaf_Anthracnose,Banana_Anthracnose,218,REVIEW,"Decide if fruit/leaf separation needed or merge to Banana_Anthracnose"
BANANA_004,Banana_Leaf_Black_Sigatoka,Banana_Black_Sigatoka,56,RENAME_ONLY,"Use Banana_Black_Sigatoka"

CHERRY_001,Cherry_Healthy | Cherry__healthy (1),Cherry_Healthy,2200,MERGE,"Consolidate"
CHERRY_002,Cherry_Powdery_mildew | Cherry__Powdery_mildew | Cherry__powdery_mildew,Cherry_Powdery_Mildew,2027,MERGE,"Standardize"
CHERRY_003,Cherry_Leaf_Spot | Cherry_Leaf_Scorch,Cherry_Leaf_Spot,1302,REVIEW,"Leaf Spot vs Scorch - check if same disease"
CHERRY_004,Cherry brown_spot | Cherry_brown_spot,Cherry_Brown_Spot,1968,MERGE,"Consolidate"
CHERRY_005,Cherry purple leaf spot,Cherry_Purple_Leaf_Spot,987,RENAME_ONLY,"Standardize format"
CHERRY_006,Cherry_shot hole disease,Cherry_Shot_Hole_Disease,440,RENAME_ONLY,"Standardize"

CITRUS_001,Citrus_Black_spot,Citrus_Black_Spot,311,RENAME_ONLY,"Capitalize Spot"
CITRUS_002,Citrus_greening | Citrus_Greening (1) | Orange__Haunglongbing_(Citrus_greening),Citrus_Greening,7707,MERGE,"Consolidate all Greening variants. Note: Haunglongbing is same disease"
CITRUS_003,Citrus_canker | Citrus_Canker,Citrus_Canker,681,MERGE,"Consolidate"
CITRUS_004,Citrus_Healthy | Citrus_Leaf_Greening,Citrus_Healthy,247,MERGE,"Citrus_Leaf_Greening might be mislabeled, check"

CORN_001,Corn_healthy | Corn_Healthy (1) | Corn__healthy (1) | Corn__healthy (2) | Corn___Healthy (1) | Corn___Healthy,Corn_Healthy,7780,MERGE,"Consolidate ALL healthy variants"
CORN_002,Corn_Northern_Leaf_Blight | Corn__Northern_Leaf_Blight | Corn___Northern_Leaf_Blight,Corn_Northern_Leaf_Blight,3598,MERGE,"Consolidate NLB"
CORN_003,Corn_Common_rust | Corn__Common_rust | Corn___Common_Rust | Corn__common_rust | Corn_Common_Rust (1),Corn_Common_Rust,4601,MERGE,"Consolidate"
CORN_004,Corn_cercospora_gray_leaf_spot | Corn__Cercospora_leaf_spot_Gray_leaf_spot | Corn_Cercospora_Leaf_Spot | Corn___Gray_Leaf_Spot | Corn__gray_leaf_spot,Corn_Gray_Leaf_Spot,5667,MERGE,"Gray Leaf Spot = Cercospora (same disease)"
CORN_005,Corn_Leaf_Spot | Corn_Leaf_Blight (1) | Corn__northern_leaf_blight,Corn_Leaf_Blight,2603,REVIEW,"Separate Leaf Spot from Blight if different diseases"
CORN_006,Corn_Grasshopper | Corn_Leaf_Beetle | Corn_Streak_Virus,KEEP_SEPARATE,3665,KEEP_SEPARATE,"Keep as separate pest/disease categories"

COTTON_001,Cotton_healthy | Cotton_Healthy,Cotton_Healthy,850,MERGE,"Consolidate"
COTTON_002,Cotton_bacterial_blight | Cotton_Bacterial_blight,Cotton_Bacterial_Blight,896,MERGE,"Consolidate"
COTTON_003,Cotton_curl_virus | Cotton_Curl_virus,Cotton_Curl_Virus,836,MERGE,"Consolidate"
COTTON_004,Cotton_fussarium_wilt | Cotton_Fusarium_wilt,Cotton_Fusarium_Wilt,838,MERGE,"Note spelling: Fusarium correct"
COTTON_005,Cotton_Adult_Bollworm | Cotton_Larve_Bollworm | Cotton  bollworm (Helicoverpa armigera),Cotton_Bollworm,122,REVIEW,"Life stages - keep separate or merge?"

CUCUMBER_001,Cucumber__Rotten (1) | Cucumber__Rotten,Cucumber_Rotten,982,MERGE,"Consolidate"
CUCUMBER_002,Cucumber__healthy,Cucumber_Healthy,821,RENAME_ONLY,"Capitalize"

GRAPE_001,Grape_Black_Measles | Grape__Esca_(Black_Measles) | Grape__black_measles,Grape_Black_Measles,1959,MERGE,"Esca = Black Measles (same disease)"
