original_name,scientific_name,category,confidence
Apple Apple scab,Venturia inaequalis,fungal,high
Apple Black rot,Botryosphaeria obtusa,fungal,high
Apple Cedar apple rust,Gymnosporangium juniperi-virginianae,pest,high
Apple healthy,Malus domestica (healthy),healthy,high
Apple_healthy,Malus domestica (healthy),healthy,high
Bacterial leaf blight in rice leaf,Xanthomonas oryzae,bacterial,high
Black_Leaf_Spot,Alternaria spp.,pest_family,high
Blight in corn Leaf,Exserohilum turcicum,pest,high
Blueberry healthy,Vaccinium corymbosum (healthy),healthy,high
Brown spot in rice leaf,Bipolaris oryzae,pest,high
Cauliflower_Alternaria_Leaf_Spot,Alternaria brassicae,fungal,high
Cercospora leaf spot,Cercospora spp.,pest_family,high
Cercospora_zeae_maydis,Cercospora zeae-maydis,fungal,high
Cherry (including sour) Powdery mildew,Cherry (including sour) Powdery mildew (nom à vérifier),pest,low
Cherry (including_sour) healthy,Prunus spp. (healthy),healthy,high
Cicadellidae,Cicadellidae,pest,high
Common Rust in corn Leaf,Puccinia sorghi,pest,high
Corn (maize) healthy,Zea mays (healthy),healthy,high
Corn_Gray_Leaf_Spot,Cercospora zeae-maydis,fungal,high
Early_Arachis hypogaea_Leaf_Spot,Cercospora arachidicola,fungal,high
Eggplant_Cercospora_Leaf_Spot,Cercospora melongenae,fungal,high
Grape Black rot,Guignardia bidwellii,fungal,high
Grape Esca Black Measles,Phaeomoniella chlamydospora,pest,high
Grape Leaf blight Isariopsis Leaf Spot,Isariopsis clavispora,pest,high
Grape healthy,Vitis vinifera (healthy),healthy,high
Gray Leaf Spot in corn Leaf,Cercospora zeae-maydis,fungal,high
Grub,Melolontha spp.,pest_family,high
Late_Arachis hypogaea_Leaf_Spot,Cercosporidium personatum,pest,high
Leaf smut in rice leaf,Entyloma oryzae,pest,high
Orange Haunglongbing Citrus greening,Candidatus Liberibacter asiaticus,bacterial,high
Peach_healthy,Prunus persica (healthy),healthy,high
Pepper bell Bacterial spot,Xanthomonas spp.,pest_family,high
Pepper bell healthy,Capsicum annuum (healthy),healthy,high
Potato Early blight,Alternaria solani,fungal,high
Potato Late blight,Phytophthora infestans,fungal,high
Potato healthy,Solanum tuberosum (healthy),healthy,high
Potato_healthy,Solanum tuberosum (healthy),healthy,high
Raspberry_healthy,Rubus idaeus (healthy),healthy,high
Soybean healthy,Glycine max (healthy),healthy,high
Strawberry Leaf scorch,Diplocarpon earlianum,fungal,high
Strawberry healthy,Fragaria × ananassa (healthy),healthy,high
Tomato Bacterial spot,Xanthomonas spp.,pest_family,high
Tomato Early blight,Alternaria solani,fungal,high
Tomato Late blight,Phytophthora infestans,fungal,high
Tomato Leaf Mold,Passalora fulva,pest,high
Tomato Septoria leaf spot,Septoria lycopersici,pest,high
Tomato Spider mites Two spotted spider mite,Tetranychus urticae,pest,high
Tomato Target Spot,Corynespora cassiicola,pest,high
Tomato Tomato mosaic virus,Tomato mosaic virus,viral,high
Tomato healthy,Solanum lycopersicum (healthy),healthy,high
algal leaf in tea,Cephaleuros virescens,pest,high
anthracnose in tea,Colletotrichum camelliae,fungal,high
aphis_citricola_vander_goot,Aphis citricola,pest,high
apolugus_lucorum,Apolygus lucorum,pest,high
apple___apple_scab,Venturia inaequalis,fungal,high
apple___black_rot,Botryosphaeria obtusa,fungal,high
apple___healthy,Malus domestica (healthy),healthy,high
bird eye spot in tea,Cercospora theae,fungal,high
blueberry___healthy,Vaccinium corymbosum (healthy),healthy,high
brown blight in tea,Glomerella cingulata,pest,high
cabbage looper,Trichoplusia ni,pest,high
cherry_including_sour___healthy,Prunus spp. (healthy),healthy,high
cherry_including_sour___powdery_mildew,cherry_including_sour___powdery_mildew (nom à vérifier),pest,low
